trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.9939010845640557}",25,0,-142.72559118922987,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9937568869134505}",20,0,-122.37778098424062,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.993611009813943}",20,0,-22.56857041960231,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.9934634535120653}",20,0,-76.42802139812957,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9933142182571878}",25,0,-127.69249441386108,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
90,False,"{'a': 0.5, 'e': 0.9931633043015177}",30,0,-196.81630855188146,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
91,False,"{'a': 0.5, 'e': 0.9930107119000998}",20,0,-164.04029681876276,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.9928564413108151}",20,0,-69.06164535938281,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9927004927943809}",20,0,-191.62355318886864,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9925428666143501}",20,0,-173.71915248777157,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
95,False,"{'a': 0.5, 'e': 0.9923835630371111}",25,0,-57.62154577963872,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.9922225823318865}",30,0,-180.20895315199013,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
97,False,"{'a': 0.5, 'e': 0.9920599247707341}",35,15,-125.11782195791685,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.991895590628545}",20,0,-79.64659361223589,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9917295801830438}",25,0,-157.68900079111177,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.9915618937147881}",35,0,-247.52414793693558,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
101,False,"{'a': 0.5, 'e': 0.991392531507168}",20,0,-112.91436675784522,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.9912214938464056}",20,0,-26.960117400470956,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.9910487810215545}",25,0,-168.67413557874175,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.9908743933244993}",25,0,-151.71863065159664,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.9906983310499554}",30,0,-171.96347212345123,"{0: 17, 1: 6, 2: 4, 3: 0, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.9905205944954677}",25,0,-211.96858557677896,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
107,False,"{'a': 0.5, 'e': 0.9903411839614111}",25,0,-74.07269939359388,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.9901600997509893}",20,0,-40.37674998653769,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.9899773421702346}",30,0,-220.4985497337532,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.9897929115280072}",20,0,-189.0254796282201,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.989606808135995}",20,0,-86.04859696777525,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9894190323087124}",20,2,-33.55725228190723,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.9892295843635008}",20,0,-143.3126286069552,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.9890384646205271}",30,0,-64.48061862784822,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.9888456734027836}",20,0,-46.09971354017931,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.9886512110360874}",30,0,-224.77414190214236,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.9884550778490798}",20,0,-73.08821619532347,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.988257274173226}",35,0,-87.29486262919114,"{0: 24, 1: 1, 2: 9, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.988057800342814}",25,0,-166.6169939758117,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9878566566949545}",30,0,-264.87442019878614,"{0: 14, 1: 1, 2: 8, 3: 4, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.9876538435695804}",20,15,1.8560530191399751,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.9874493613094457}",20,0,-82.29103075125556,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.9872432102601254}",25,0,-78.34320435275943,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9870353907700148}",30,0,-107.54804571956858,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.9868259031903286}",30,0,-194.3051216078973,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
126,False,"{'a': 0.5, 'e': 0.986614747875101}",20,0,-53.548899772799594,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.9864019251811843}",20,0,-74.73144490007755,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9861874354682487}",35,1,-163.57727740318322,"{0: 17, 1: 3, 2: 13, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.985971279098782}",20,0,-78.11611832727046,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9857534564380883}",25,0,-122.41364237066196,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9855339678542877}",30,0,-139.44332133636883,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9853128137183161}",30,0,-213.7150682555148,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.9850899944039239}",20,6,-4.893103956478328,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.9848655102876754}",20,0,-89.8392116734004,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9846393617489492}",30,0,-133.73940792319462,"{0: 18, 1: 3, 2: 4, 3: 5, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9844115491699358}",20,0,-117.86783610989707,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.9841820729356386}",30,19,-15.5366478583115,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.9839509334338724}",20,0,-113.8620472708097,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
139,False,"{'a': 0.5, 'e': 0.983718131055263}",20,0,-167.1254456423107,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
