trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1132,False,"{'a': 0.5, 'e': 0.3761080383778874}",20,10,4.066765097403912,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.3751377075289098}",20,5,-27.51269899652293,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1134,False,"{'a': 0.5, 'e': 0.3741669654506385}",30,8,16.520901046160027,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.3731958132072097}",25,11,-16.465958417861245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1136,False,"{'a': 0.5, 'e': 0.372224251863209}",30,15,30.196037163673314,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.5, 'e': 0.3712522824836707}",30,14,-25.58240308160002,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1138,False,"{'a': 0.5, 'e': 0.37027990613407624}",20,0,12.577550322643848,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
1139,False,"{'a': 0.5, 'e': 0.3693071238803532}",25,0,4.266581090006138,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
1140,False,"{'a': 0.5, 'e': 0.36833393678887444}",20,2,-25.725049137596322,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
1141,False,"{'a': 0.5, 'e': 0.36736034592645583}",25,0,-79.88746581901712,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
1142,False,"{'a': 0.5, 'e': 0.36638635236035655}",20,6,-47.3917981264439,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
1143,False,"{'a': 0.5, 'e': 0.365411957158277}",20,6,8.73515952103617,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1144,False,"{'a': 0.5, 'e': 0.36443716138835797}",20,8,-36.533540066505005,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1145,False,"{'a': 0.5, 'e': 0.36346196611917914}",20,0,-36.26833321627325,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
1146,False,"{'a': 0.5, 'e': 0.3624863724197583}",20,0,13.919895249535626,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1147,False,"{'a': 0.5, 'e': 0.36151038135954994}",20,3,-10.045644095671905,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
1148,False,"{'a': 0.5, 'e': 0.3605339940084441}",30,0,-29.06694076310749,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
1149,False,"{'a': 0.5, 'e': 0.3595572114367654}",20,5,-89.73341740930391,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
1150,False,"{'a': 0.5, 'e': 0.35858003471527145}",25,0,-4.1481256466059975,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1151,False,"{'a': 0.5, 'e': 0.35760246491515235}",20,2,-38.91466567830848,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
1152,False,"{'a': 0.5, 'e': 0.3566245031080284}",20,6,-31.143573524922434,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1153,False,"{'a': 0.5, 'e': 0.35564615036595026}",25,2,-55.81478774734615,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
1154,False,"{'a': 0.5, 'e': 0.3546674077613968}",20,7,2.9317186743988066,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
1155,False,"{'a': 0.5, 'e': 0.35368827636727457}",20,8,-32.84647667159382,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1156,False,"{'a': 0.5, 'e': 0.352708757256916}",20,5,-9.745755438059048,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
1157,False,"{'a': 0.5, 'e': 0.3517288515040786}",20,14,9.469365583757277,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1158,False,"{'a': 0.5, 'e': 0.35074856018294387}",25,0,-3.823228451707327,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1159,False,"{'a': 0.5, 'e': 0.34976788436811584}",25,0,-35.067801263344016,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
1160,False,"{'a': 0.5, 'e': 0.3487868251346201}",20,0,-59.53439961905323,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
1161,False,"{'a': 0.5, 'e': 0.3478053835579025}",20,0,-58.39658001012212,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
1162,False,"{'a': 0.5, 'e': 0.34682356071382825}",20,11,17.70850192898851,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1163,False,"{'a': 0.5, 'e': 0.34584135767867985}",25,0,-8.590963454883594,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
1164,False,"{'a': 0.5, 'e': 0.34485877552915717}",25,12,-13.298837447405653,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
1165,False,"{'a': 0.5, 'e': 0.3438758153423756}",20,2,-7.06607562069407,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
1166,False,"{'a': 0.5, 'e': 0.3428924781958648}",25,8,-2.2430336802489546,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
1167,False,"{'a': 0.5, 'e': 0.3419087651675677}",25,18,11.514020637458987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1168,False,"{'a': 0.5, 'e': 0.3409246773358393}",25,0,-2.4118133131886172,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1169,False,"{'a': 0.5, 'e': 0.3399402157794454}",25,3,4.3404661471909645,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
1170,False,"{'a': 0.5, 'e': 0.33895538157756155}",25,0,-2.5948670190449654,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
1171,False,"{'a': 0.5, 'e': 0.3379701758097718}",25,18,-9.215452812595055,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
1172,False,"{'a': 0.5, 'e': 0.33698459955606735}",20,7,-19.93743270333906,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
1173,False,"{'a': 0.5, 'e': 0.335998653896846}",20,3,-26.67897744312371,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
1174,False,"{'a': 0.5, 'e': 0.33501233991290974}",25,14,-1.4636297812779613,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1175,False,"{'a': 0.5, 'e': 0.3340256586854649}",30,0,-50.616406018106595,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
1176,False,"{'a': 0.5, 'e': 0.33303861129612017}",25,3,-34.15189281415086,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 0}",1
1177,False,"{'a': 0.5, 'e': 0.3320511988268858}",25,0,-70.70007385222961,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
1178,False,"{'a': 0.5, 'e': 0.331063422360172}",25,12,-44.13669592360723,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
